proposed_url,page_type,category,primary_intent,existing_or_new,source_old_url_if_any,calculator_or_content,priority,official_data_dependency,update_frequency,portfolio_overlap_risk,notes,rejection_reason
/is-50000-a-good-salary-us.html,guide/tool candidate,PAY & TAX,Is 50000 a good salary us,existing,is-50000-a-good-salary-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-52000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 52000 a good salary uk,existing,is-52000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-55000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 55000 a good salary uk,existing,is-55000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-60000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 60000 a good salary uk,existing,is-60000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-60000-a-good-salary-us.html,guide/tool candidate,PAY & TAX,Is 60000 a good salary us,existing,is-60000-a-good-salary-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-65000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 65000 a good salary uk,existing,is-65000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-70000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 70000 a good salary uk,existing,is-70000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-70000-a-good-salary-us.html,guide/tool candidate,PAY & TAX,Is 70000 a good salary us,existing,is-70000-a-good-salary-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-75000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 75000 a good salary uk,existing,is-75000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-80000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 80000 a good salary uk,existing,is-80000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-80000-a-good-salary-us.html,guide/tool candidate,PAY & TAX,Is 80000 a good salary us,existing,is-80000-a-good-salary-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-85000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 85000 a good salary uk,existing,is-85000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-90000-a-good-salary-california.html,guide/tool candidate,PAY & TAX,Is 90000 a good salary california,existing,is-90000-a-good-salary-california.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-90000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 90000 a good salary uk,existing,is-90000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-a-pay-rise-worth-it.html,guide/tool candidate,WORK MONEY,Is a pay rise worth it,existing,is-a-pay-rise-worth-it.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/job-offer-after-tax-calculator.html,guide/tool candidate,WORK MONEY,Job offer after tax calculator,existing,job-offer-after-tax-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/job-offer-calculator.html,guide/tool candidate,WORK MONEY,Job offer calculator,existing,job-offer-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/job-offer-salary-calculators.html,guide/tool candidate,WORK MONEY,Job offer salary calculators,existing,job-offer-salary-calculators.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/median-salary-uk.html,guide/tool candidate,PAY & TAX,Median salary uk,existing,median-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/monthly-budget-calculator.html,guide/tool candidate,HOUSEHOLD MONEY,Monthly budget calculator,existing,monthly-budget-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/monthly-pay-after-tax-calculator.html,guide/tool candidate,PAY & TAX,Monthly pay after tax calculator,existing,monthly-pay-after-tax-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/mortgage-affordability-by-salary.html,guide/tool candidate,BORROWING & DEBT,Mortgage affordability by salary,existing,mortgage-affordability-by-salary.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/mortgage-affordability-calculator.html,guide/tool candidate,BORROWING & DEBT,Mortgage affordability calculator,existing,mortgage-affordability-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/pay-rise-calculator.html,guide/tool candidate,WORK MONEY,Pay rise calculator,existing,pay-rise-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/paycheck-deductions-calculator.html,guide/tool candidate,PAY & TAX,Paycheck deductions calculator,existing,paycheck-deductions-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/payroll-deduction-calculator.html,guide/tool candidate,PAY & TAX,Payroll deduction calculator,existing,payroll-deduction-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/pension-vs-salary-calculator.html,guide/tool candidate,WORK MONEY,Pension vs salary calculator,existing,pension-vs-salary-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/promotion-calculator.html,guide/tool candidate,GUIDES,Promotion calculator,existing,promotion-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/raise-after-tax-calculator.html,guide/tool candidate,WORK MONEY,Raise after tax calculator,existing,raise-after-tax-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/relocating-for-higher-salary.html,guide/tool candidate,PAY & TAX,Relocating for higher salary,existing,relocating-for-higher-salary.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/relocation-salary-calculator.html,guide/tool candidate,PAY & TAX,Relocation salary calculator,existing,relocation-salary-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-100000-200000-us.html,guide/tool candidate,PAY & TAX,Salary after tax 100000 200000 us,existing,salary-after-tax-100000-200000-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-100000-plus-uk.html,guide/tool candidate,PAY & TAX,Salary after tax 100000 plus uk,existing,salary-after-tax-100000-plus-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-20000-30000-uk.html,guide/tool candidate,PAY & TAX,Salary after tax 20000 30000 uk,existing,salary-after-tax-20000-30000-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-20000-50000-us.html,guide/tool candidate,PAY & TAX,Salary after tax 20000 50000 us,existing,salary-after-tax-20000-50000-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-200000-plus-us.html,guide/tool candidate,PAY & TAX,Salary after tax 200000 plus us,existing,salary-after-tax-200000-plus-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-30000-40000-uk.html,guide/tool candidate,PAY & TAX,Salary after tax 30000 40000 uk,existing,salary-after-tax-30000-40000-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-30000-50000-uk.html,guide/tool candidate,PAY & TAX,Salary after tax 30000 50000 uk,existing,salary-after-tax-30000-50000-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-40000-50000-uk.html,guide/tool candidate,PAY & TAX,Salary after tax 40000 50000 uk,existing,salary-after-tax-40000-50000-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-50000-100000-us.html,guide/tool candidate,PAY & TAX,Salary after tax 50000 100000 us,existing,salary-after-tax-50000-100000-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-50000-60000-uk.html,guide/tool candidate,PAY & TAX,Salary after tax 50000 60000 uk,existing,salary-after-tax-50000-60000-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-50000-80000-uk.html,guide/tool candidate,PAY & TAX,Salary after tax 50000 80000 uk,existing,salary-after-tax-50000-80000-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-60000-80000-uk.html,guide/tool candidate,PAY & TAX,Salary after tax 60000 80000 uk,existing,salary-after-tax-60000-80000-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-80000-100000-uk.html,guide/tool candidate,PAY & TAX,Salary after tax 80000 100000 uk,existing,salary-after-tax-80000-100000-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/salary-after-tax-by-income.html,guide/tool candidate,PAY & TAX,Salary after tax by income,existing,salary-after-tax-by-income.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/30000-salary-after-tax-uk.html,example,PAY & TAX,"UK salary after tax example for 30,000",existing,30000-salary-after-tax-uk.html,content,C,Yes,Annual,High with SalaryDecoded,Keep only as a small flagship example set if human review approves.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/30000-salary-after-tax-us.html,example,PAY & TAX,"US salary after tax example for 30,000",existing,30000-salary-after-tax-us.html,content,C,Yes,Annual,High with SalaryDecoded,Keep only as a small flagship example set if human review approves.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/40000-salary-after-tax-uk.html,example,PAY & TAX,"UK salary after tax example for 40,000",existing,40000-salary-after-tax-uk.html,content,C,Yes,Annual,High with SalaryDecoded,Keep only as a small flagship example set if human review approves.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/40000-salary-after-tax-us.html,example,PAY & TAX,"US salary after tax example for 40,000",existing,40000-salary-after-tax-us.html,content,C,Yes,Annual,High with SalaryDecoded,Keep only as a small flagship example set if human review approves.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/50000-salary-after-tax-uk.html,example,PAY & TAX,"UK salary after tax example for 50,000",existing,50000-salary-after-tax-uk.html,content,C,Yes,Annual,High with SalaryDecoded,Keep only as a small flagship example set if human review approves.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/50000-salary-after-tax-us.html,example,PAY & TAX,"US salary after tax example for 50,000",existing,50000-salary-after-tax-us.html,content,C,Yes,Annual,High with SalaryDecoded,Keep only as a small flagship example set if human review approves.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/60000-salary-after-tax-uk.html,example,PAY & TAX,"UK salary after tax example for 60,000",existing,60000-salary-after-tax-uk.html,content,C,Yes,Annual,High with SalaryDecoded,Keep only as a small flagship example set if human review approves.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/60000-salary-after-tax-us.html,example,PAY & TAX,"US salary after tax example for 60,000",existing,60000-salary-after-tax-us.html,content,C,Yes,Annual,High with SalaryDecoded,Keep only as a small flagship example set if human review approves.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
