proposed_url,page_type,category,primary_intent,existing_or_new,source_old_url_if_any,calculator_or_content,priority,official_data_dependency,update_frequency,portfolio_overlap_risk,notes
/why-your-payslip-is-different.html,guide,PAY & TAX,Why UK payslip estimates differ,existing,why-your-payslip-is-different.html,content,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/credit-readiness-resources.html,bridge,BORROWING & DEBT,"Income, affordability and credit readiness",existing,credit-readiness-resources.html,content,A,No,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/pay-tax/,category hub,PAY & TAX,"Pay, tax and take-home pay calculators",new,,content,A,No,Low,Low,New V2 category hub. Quality-review status: retained.
/household-money/,category hub,HOUSEHOLD MONEY,Household budget and living-cost calculators,new,,content,A,No,Low,Low,New V2 category hub. Quality-review status: retained.
/borrowing-debt/,category hub,BORROWING & DEBT,"Borrowing, repayment and debt calculators",new,,content,A,No,Low,Low,New V2 category hub. Quality-review status: retained.
/saving/,category hub,SAVINGS,Savings and goal calculators,new,,content,A,No,Low,Low,New V2 category hub. Quality-review status: retained.
/work-money/,category hub,WORK MONEY,"Work, benefits and job-money calculators",new,,content,A,No,Low,Low,New V2 category hub. Quality-review status: retained.
/guides/,guide hub,GUIDES,Plain-English money guide library,new,,content,A,No,Low,Low,New V2 category hub. Quality-review status: retained.
/pay-tax/take-home-pay-calculator/,calculator,PAY AND TAX,Estimate net pay from gross income,new,,calculator,A,Annual tax-year review,A,Medium,"User problem: gross salary, country, pay period, pension/student loan/state options. Inputs: annual/monthly/weekly net, effective deduction rate. Outputs: Different core problem from static salary pages; flagship V2 entry point. Quality-review status: retained."
/pay-tax/income-tax-calculator/,calculator,PAY AND TAX,Calculate income tax separately from total take-home pay,new,,calculator,A,Annual,A,Medium,"User problem: gross income, country, tax year, filing/status options. Inputs: income tax estimate, taxable income, marginal/effective rate. Outputs: Distinct from take-home pay because it isolates income tax. Quality-review status: retained."
/pay-tax/national-insurance-calculator/,calculator,PAY AND TAX,Understand UK NI deduction from earnings,new,,calculator,A,Annual,A,Low,"User problem: salary, employment class, tax year. Inputs: employee NI estimate, monthly/weekly equivalent. Outputs: UK-specific statutory deduction with strong calculator intent. Quality-review status: retained."
/pay-tax/student-loan-repayment-calculator/,calculator,PAY AND TAX,Estimate UK student loan payroll deductions,new,,calculator,A,Annual,A,Low,"User problem: salary, plan type, postgraduate flag. Inputs: annual/monthly repayment estimate. Outputs: Distinct deduction users actively search for. Quality-review status: retained."
/pay-tax/bonus-tax-calculator/,calculator,PAY AND TAX,Estimate take-home from a one-off bonus,new,,calculator,A,Annual,A,Medium,"User problem: salary, bonus, country, pension assumptions. Inputs: estimated retained bonus, tax impact. Outputs: Bonus behaves differently from normal monthly pay in user perception. Quality-review status: retained."
/pay-tax/overtime-tax-calculator/,calculator,PAY AND TAX,Estimate whether extra hours are worth it after deductions,new,,calculator,A,Annual,A,Medium,"User problem: base pay, hourly rate, overtime hours, country. Inputs: gross overtime, net overtime, real hourly value. Outputs: Distinct work/pay calculation with high practical value. Quality-review status: retained."
/pay-tax/pension-contribution-calculator/,calculator,PAY AND TAX,Estimate take-home impact of pension contributions,new,,calculator,A,Annual,A,Medium,"User problem: salary, employee %, employer %, relief style. Inputs: take-home change, contribution totals. Outputs: Strong pay deduction tool, educational not advice. Quality-review status: retained."
/pay-tax/salary-sacrifice-calculator/,calculator,PAY AND TAX,Model salary sacrifice impact on net pay,new,,calculator,A,Annual,A,Medium,"User problem: salary, sacrifice amount, pension/benefit type. Inputs: gross reduction, tax/NI effect, net change. Outputs: Distinct statutory/payroll planning calculation. Quality-review status: retained."
/borrowing-debt/mortgage-payment-calculator/,calculator,BORROWING,Estimate monthly mortgage repayment,new,,calculator,A,Low,A,Low,"User problem: loan amount, rate, term, repayment type. Inputs: monthly payment, interest estimate. Outputs: Clear broad calculator intent and portfolio bridge to CreditRoadmap. Quality-review status: retained."
/borrowing-debt/loan-repayment-calculator/,calculator,BORROWING,Estimate loan monthly repayments,new,,calculator,A,Low,A,Low,"User problem: amount, APR/rate, term. Inputs: monthly repayment, total interest. Outputs: Core money calculator distinct from credit advice. Quality-review status: retained."
/borrowing-debt/debt-payoff-calculator/,calculator,BORROWING,Calculate time to clear debt,new,,calculator,A,Low,A,Medium,"User problem: balance, APR, payment. Inputs: months to clear, interest paid. Outputs: Useful decision tool without regulated advice. Quality-review status: retained."
/household-money/household-budget-calculator/,calculator,HOUSEHOLD,Compare income and regular costs,new,,calculator,A,Low,A,Medium,"User problem: income, rent, bills, debt, savings. Inputs: monthly surplus/deficit, category shares. Outputs: Natural broad money platform page. Quality-review status: retained."
/household-money/rent-affordability-calculator/,calculator,HOUSEHOLD,Estimate affordable rent from take-home pay,new,,calculator,A,Low,A,Low,"User problem: monthly income, debts, target ratio. Inputs: rent range, leftover income. Outputs: Strong link from salary/take-home to housing. Quality-review status: retained."
/work-money/commute-cost-calculator/,calculator,WORK MONEY,Calculate monthly/yearly commute cost,new,,calculator,A,Low,A,Low,"User problem: distance, days, fare/fuel/parking/time. Inputs: monthly cost, annual cost, salary equivalent. Outputs: Distinct from WorthMyTime if focused on money not time value. Quality-review status: retained."
/work-money/job-change-break-even-calculator/,calculator,WORK MONEY,Check if a higher salary offsets new costs,new,,calculator,A,Annual,A,Medium,"User problem: current salary, offer, commute, pension, costs. Inputs: net gain/loss, break-even salary. Outputs: Excellent V2 decision calculator, portfolio bridge. Quality-review status: retained."
/saving/compound-interest-calculator/,calculator,SAVING,Project savings growth,new,,calculator,A,Low,A,Low,"User problem: starting amount, contribution, rate, term. Inputs: future value, interest earned. Outputs: Classic useful calculator, not salary duplicate. Quality-review status: retained."
/saving/emergency-fund-calculator/,calculator,SAVING,Estimate emergency fund target,new,,calculator,A,Low,A,Low,"User problem: monthly expenses, months, current savings. Inputs: target, gap, time to target. Outputs: Natural household money utility. Quality-review status: retained."
/borrowing-debt/apr-calculator/,calculator,BORROWING,Understand borrowing cost,new,,calculator,A,Low,A,Medium,"User problem: loan amount, fees, payment, term. Inputs: APR/interest interpretation. Outputs: Useful but compliance wording needed. Quality-review status: retained."
/borrowing-debt/credit-utilisation-calculator/,calculator,BORROWING,Calculate card utilisation ratio,new,,calculator,A,Low,B,Low,"User problem: credit limit, balance. Inputs: utilisation %. Outputs: Useful bridge, but CreditRoadmap may own deeper credit education. Quality-review status: retained."
/borrowing-debt/mortgage-overpayment-calculator/,calculator,BORROWING,Estimate interest/time saved by overpaying mortgage,new,,calculator,A,Low,A,Medium,"User problem: balance, rate, term, overpayment. Inputs: interest saved, months reduced. Outputs: High utility but must avoid advice. Quality-review status: retained."
/household-money/cost-of-living-calculator/,calculator,HOUSEHOLD,Compare monthly spending scenarios,new,,calculator,A,Periodic,A,Medium,"User problem: income, housing, transport, bills, region optional. Inputs: monthly budget impact. Outputs: Useful but location data can sprawl if unchecked. Quality-review status: retained."
/household-money/energy-cost-calculator/,calculator,HOUSEHOLD,Estimate energy bill impact,new,,calculator,A,Frequent,B,Medium,"User problem: usage, rate, standing charge. Inputs: monthly/yearly cost. Outputs: Clear household utility, data changes often. Quality-review status: retained."
/household-money/childcare-cost-calculator/,calculator,HOUSEHOLD,Estimate childcare cost against take-home pay,new,,calculator,A,Annual/when policy changes,B,High,"User problem: fees, days, income, support optional. Inputs: monthly cost, income share. Outputs: High user value, policy complexity. Quality-review status: retained."
/household-money/council-tax-budget-calculator/,calculator,HOUSEHOLD,Spread council tax into budget view,new,,calculator,A,Low,B,Low,"User problem: annual bill, months paid. Inputs: monthly cost, annual burden. Outputs: Useful but thin unless paired with budget context. Quality-review status: retained."
/household-money/car-running-cost-calculator/,calculator,HOUSEHOLD,Estimate monthly car running costs,new,,calculator,A,Low,A,Low,"User problem: insurance, fuel, tax, maintenance, finance. Inputs: monthly/yearly total. Outputs: Strong household affordability bridge. Quality-review status: retained."
/household-money/fuel-cost-calculator/,calculator,HOUSEHOLD,Estimate fuel cost per trip/month,new,,calculator,A,Frequent,B,Low,"User problem: miles, MPG/kWh, fuel price. Inputs: trip/month/year cost. Outputs: Useful but commodity-data changes. Quality-review status: retained."
/household-money/inflation-impact-calculator/,calculator,HOUSEHOLD,Estimate buying-power loss,new,,calculator,A,Low,B,Low,"User problem: amount, inflation rate, years. Inputs: real value, price equivalent. Outputs: Useful topical evergreen. Quality-review status: retained."
/saving/savings-goal-calculator/,calculator,SAVING,Work out monthly saving needed,new,,calculator,A,Low,A,Low,"User problem: target, timeframe, current savings. Inputs: monthly contribution required. Outputs: Clear tool intent. Quality-review status: retained."
/saving/regular-savings-calculator/,calculator,SAVING,Project regular contributions,new,,calculator,A,Low,B,Low,"User problem: monthly amount, rate, term. Inputs: future value. Outputs: Distinct from compound interest by contribution framing. Quality-review status: retained."
/saving/isa-contribution-calculator/,calculator,SAVING,Track ISA allowance usage,new,,calculator,A,Annual,B,Low,"User problem: contribution, allowance, tax year. Inputs: remaining allowance. Outputs: UK-specific, annual limit dependent. Quality-review status: retained."
/saving/pension-growth-calculator/,calculator,SAVING,Project pension pot growth,new,,calculator,A,Low,B,High,"User problem: balance, contributions, return, years. Inputs: projected value. Outputs: Risk of investment-advice framing. Quality-review status: retained."
/work-money/redundancy-pay-calculator/,calculator,WORK MONEY,Estimate statutory redundancy pay,new,,calculator,A,Annual cap review,A,Medium,"User problem: age, service, weekly pay. Inputs: statutory redundancy estimate. Outputs: Distinct UK statutory calculator. Quality-review status: retained."
/work-money/holiday-pay-calculator/,calculator,WORK MONEY,Estimate holiday pay entitlement/value,new,,calculator,A,Periodic,B,Medium,"User problem: days, hours, rate, salary. Inputs: holiday pay estimate. Outputs: Useful payroll/employment calculator. Quality-review status: retained."
/work-money/sick-pay-calculator/,calculator,WORK MONEY,Estimate statutory sick pay,new,,calculator,A,Annual,B,Medium,"User problem: days/weeks off, eligibility basics. Inputs: SSP estimate. Outputs: Useful but requires careful eligibility disclaimers. Quality-review status: retained."
/work-money/maternity-pay-calculator/,calculator,WORK MONEY,Estimate statutory maternity pay pattern,new,,calculator,A,Annual,B,High,"User problem: weekly pay, dates, entitlement. Inputs: weekly/monthly estimate. Outputs: High complexity but high user value. Quality-review status: retained."
/work-money/paternity-pay-calculator/,calculator,WORK MONEY,Estimate statutory paternity pay,new,,calculator,A,Annual,C,Medium,"User problem: weekly pay, leave weeks. Inputs: pay estimate. Outputs: Useful but narrower demand. Quality-review status: retained."
/work-money/day-rate-calculator/,calculator,WORK MONEY,Convert day rate to salary equivalent,new,,calculator,A,Annual,A,Medium,"User problem: day rate, billable days, costs. Inputs: gross/net equivalent. Outputs: Useful contractor tool; avoid tax-advice detail. Quality-review status: retained."
/work-money/inside-ir35-calculator/,calculator,WORK MONEY,Estimate inside IR35 take-home,new,,calculator,A,Annual,B,High,"User problem: day rate, days, pension, tax year. Inputs: net estimate. Outputs: High value, high complexity/compliance. Quality-review status: retained."
/work-money/outside-ir35-calculator/,calculator,WORK MONEY,Model limited company contractor scenarios,new,,calculator,A,Annual,C,Very high,"User problem: rate, days, salary/dividend assumptions. Inputs: illustrative take-home. Outputs: High risk of advice/complexity. Quality-review status: retained."
/work-money/shift-allowance-calculator/,calculator,WORK MONEY,Estimate shift premium value,new,,calculator,A,Low,B,Low,"User problem: base rate, premium, shifts. Inputs: gross/net added pay. Outputs: Distinct work-pay calculator. Quality-review status: retained."
/work-money/notice-pay-calculator/,calculator,WORK MONEY,Estimate notice-period pay,new,,calculator,A,Low,B,Medium,"User problem: salary, notice length. Inputs: gross/pay-period value. Outputs: Useful but employment-law edges. Quality-review status: retained."
/borrowing-debt/balance-transfer-calculator/,calculator,BORROWING,Compare card transfer cost,new,,calculator,A,Low,B,Medium,"User problem: balance, fee, promo rate, term. Inputs: cost comparison. Outputs: Commercially useful, credit overlap. Quality-review status: retained."
/best-states-for-take-home-pay.html,guide/tool candidate,PAY & TAX,Best states for take home pay,existing,best-states-for-take-home-pay.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/bonus-vs-pay-rise.html,guide/tool candidate,WORK MONEY,Bonus vs pay rise,existing,bonus-vs-pay-rise.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/bonus-vs-salary-after-tax.html,guide/tool candidate,WORK MONEY,Bonus vs salary after tax,existing,bonus-vs-salary-after-tax.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/child-benefit-tax-charge-explained.html,guide/tool candidate,WORK MONEY,Child benefit tax charge explained,existing,child-benefit-tax-charge-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/commuting-cost-vs-salary-increase.html,guide/tool candidate,PAY & TAX,Commuting cost vs salary increase,existing,commuting-cost-vs-salary-increase.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/company-car-tax-explained.html,guide/tool candidate,HOUSEHOLD MONEY,Company car tax explained,existing,company-car-tax-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/company-car-vs-car-allowance.html,guide/tool candidate,HOUSEHOLD MONEY,Company car vs car allowance,existing,company-car-vs-car-allowance.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/company-car-vs-higher-salary.html,guide/tool candidate,HOUSEHOLD MONEY,Company car vs higher salary,existing,company-car-vs-higher-salary.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/compare-salary-after-tax.html,guide/tool candidate,PAY & TAX,Compare salary after tax,existing,compare-salary-after-tax.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/contractor-vs-salaried-income.html,guide/tool candidate,GUIDES,Contractor vs salaried income,existing,contractor-vs-salaried-income.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/deposit-saving-calculator.html,guide/tool candidate,SAVINGS,Deposit saving calculator,existing,deposit-saving-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/emergency-tax-explained.html,guide/tool candidate,SAVINGS,Emergency tax explained,existing,emergency-tax-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/employee-tax-deductions-explained.html,guide/tool candidate,PAY & TAX,Employee tax deductions explained,existing,employee-tax-deductions-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/employer-benefits-tax-impact.html,guide/tool candidate,WORK MONEY,Employer benefits tax impact,existing,employer-benefits-tax-impact.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/employer-pension-contribution-explained.html,guide/tool candidate,WORK MONEY,Employer pension contribution explained,existing,employer-pension-contribution-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/employer-pension-vs-pay-rise.html,guide/tool candidate,WORK MONEY,Employer pension vs pay rise,existing,employer-pension-vs-pay-rise.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/federal-tax-withholding-explained.html,guide/tool candidate,PAY & TAX,Federal tax withholding explained,existing,federal-tax-withholding-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/health-insurance-vs-higher-salary.html,guide/tool candidate,PAY & TAX,Health insurance vs higher salary,existing,health-insurance-vs-higher-salary.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/high-income-by-state.html,guide/tool candidate,GUIDES,High income by state,existing,high-income-by-state.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/high-income-cost-of-living-comparison.html,guide/tool candidate,HOUSEHOLD MONEY,High income cost of living comparison,existing,high-income-cost-of-living-comparison.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/high-income-salary-after-tax.html,guide/tool candidate,PAY & TAX,High income salary after tax,existing,high-income-salary-after-tax.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/high-income-tax-explained.html,guide/tool candidate,PAY & TAX,High income tax explained,existing,high-income-tax-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/high-income-tax-planning-guide.html,guide/tool candidate,PAY & TAX,High income tax planning guide,existing,high-income-tax-planning-guide.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/high-salary-budgeting.html,guide/tool candidate,HOUSEHOLD MONEY,High salary budgeting,existing,high-salary-budgeting.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/higher-salary-vs-better-benefits.html,guide/tool candidate,WORK MONEY,Higher salary vs better benefits,existing,higher-salary-vs-better-benefits.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/higher-salary-vs-shorter-commute.html,guide/tool candidate,WORK MONEY,Higher salary vs shorter commute,existing,higher-salary-vs-shorter-commute.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/hourly-to-salary-us.html,guide/tool candidate,PAY & TAX,Hourly to salary us,existing,hourly-to-salary-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/hourly-to-salary.html,guide/tool candidate,PAY & TAX,Hourly to salary,existing,hourly-to-salary.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/how-much-more-salary-is-worth-changing-jobs.html,guide/tool candidate,WORK MONEY,How much more salary is worth changing jobs,existing,how-much-more-salary-is-worth-changing-jobs.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/how-much-of-a-raise-do-you-keep-after-tax.html,guide/tool candidate,WORK MONEY,How much of a raise do you keep after tax,existing,how-much-of-a-raise-do-you-keep-after-tax.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/how-overtime-is-taxed-uk.html,guide/tool candidate,WORK MONEY,How overtime is taxed uk,existing,how-overtime-is-taxed-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/how-pension-contributions-affect-take-home-pay.html,guide/tool candidate,WORK MONEY,How pension contributions affect take home pay,existing,how-pension-contributions-affect-take-home-pay.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/how-state-income-tax-affects-paychecks.html,guide/tool candidate,PAY & TAX,How state income tax affects paychecks,existing,how-state-income-tax-affects-paychecks.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/how-take-home-pay-is-calculated.html,guide/tool candidate,PAY & TAX,How take home pay is calculated,existing,how-take-home-pay-is-calculated.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/how-tax-bands-affect-pay-rises.html,guide/tool candidate,WORK MONEY,How tax bands affect pay rises,existing,how-tax-bands-affect-pay-rises.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/how-to-compare-two-job-offers-after-tax.html,guide/tool candidate,WORK MONEY,How to compare two job offers after tax,existing,how-to-compare-two-job-offers-after-tax.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/job-offer-checklist-after-tax.html,guide/tool candidate,WORK MONEY,Job offer checklist after tax,existing,job-offer-checklist-after-tax.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/job-offer-take-home-pay-checklist.html,guide/tool candidate,WORK MONEY,Job offer take home pay checklist,existing,job-offer-take-home-pay-checklist.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/marriage-allowance-explained.html,guide/tool candidate,GUIDES,Marriage allowance explained,existing,marriage-allowance-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/minimum-wage-uk-salary.html,guide/tool candidate,PAY & TAX,Minimum wage uk salary,existing,minimum-wage-uk-salary.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/national-insurance-explained.html,guide/tool candidate,PAY & TAX,National insurance explained,existing,national-insurance-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/national-insurance-rates.html,guide/tool candidate,PAY & TAX,National insurance rates,existing,national-insurance-rates.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/new-job-salary-after-tax-guide.html,guide/tool candidate,WORK MONEY,New job salary after tax guide,existing,new-job-salary-after-tax-guide.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/overtime-tax-explained.html,guide/tool candidate,WORK MONEY,Overtime tax explained,existing,overtime-tax-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/paycheck-explainer-center.html,guide/tool candidate,PAY & TAX,Paycheck explainer center,existing,paycheck-explainer-center.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/payroll-and-benefits-taxation.html,guide/tool candidate,WORK MONEY,Payroll and benefits taxation,existing,payroll-and-benefits-taxation.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/payroll-deduction-guides.html,guide/tool candidate,PAY & TAX,Payroll deduction guides,existing,payroll-deduction-guides.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/payroll-deductions-vs-take-home-pay.html,guide/tool candidate,PAY & TAX,Payroll deductions vs take home pay,existing,payroll-deductions-vs-take-home-pay.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/payroll-tax-explained.html,guide/tool candidate,PAY & TAX,Payroll tax explained,existing,payroll-tax-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/payslip-explained.html,guide/tool candidate,PAY & TAX,Payslip explained,existing,payslip-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/pension-and-benefits-planning.html,guide/tool candidate,WORK MONEY,Pension and benefits planning,existing,pension-and-benefits-planning.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/pension-contribution-vs-take-home-pay.html,guide/tool candidate,WORK MONEY,Pension contribution vs take home pay,existing,pension-contribution-vs-take-home-pay.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/pension-deductions-explained.html,guide/tool candidate,WORK MONEY,Pension deductions explained,existing,pension-deductions-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/pension-salary-sacrifice-explained.html,guide/tool candidate,WORK MONEY,Pension salary sacrifice explained,existing,pension-salary-sacrifice-explained.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/private-health-insurance-value.html,guide/tool candidate,GUIDES,Private health insurance value,existing,private-health-insurance-value.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/remote-job-vs-higher-salary.html,guide/tool candidate,WORK MONEY,Remote job vs higher salary,existing,remote-job-vs-higher-salary.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/rsu-and-stock-compensation-tax.html,guide/tool candidate,WORK MONEY,Rsu and stock compensation tax,existing,rsu-and-stock-compensation-tax.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
/salary-after-tax-faq.html,guide/tool candidate,PAY & TAX,Salary after tax faq,existing,salary-after-tax-faq.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation. Quality-review status: retained.
