rank,tool,proposed_url,cluster,primary_search_intent,user_problem,required_inputs,expected_outputs,why_own_url,portfolio_overlap_risk,implementation_complexity,commercial_value,informational_value,geography,official_data_required,update_frequency,priority
14,commute-cost-calculator,/work-money/commute-cost-calculator/,Work money,Calculate monthly/yearly commute cost,"distance, days, fare/fuel/parking/time","monthly cost, annual cost, salary equivalent",Distinct from WorthMyTime if focused on money not time value,Medium,Low,Medium,High,Broad,No,Low,A
15,job-change-break-even-calculator,/work-money/job-change-break-even-calculator/,Work money,Check if a higher salary offsets new costs,"current salary, offer, commute, pension, costs","net gain/loss, break-even salary","Excellent V2 decision calculator, portfolio bridge",Medium with WorthMyTime/SalaryDecoded,Medium,High,High,Broad,Uses salary assumptions,Annual,A
16,compound-interest-calculator,/saving/compound-interest-calculator/,Saving,Project savings growth,"starting amount, contribution, rate, term","future value, interest earned","Classic useful calculator, not salary duplicate",Low,Low,High,High,Broad,No,Low,A
17,emergency-fund-calculator,/saving/emergency-fund-calculator/,Saving,Estimate emergency fund target,"monthly expenses, months, current savings","target, gap, time to target",Natural household money utility,Low,Low,Medium,High,Broad,No,Low,A
18,apr-calculator,/borrowing-debt/apr-calculator/,Borrowing,Understand borrowing cost,"loan amount, fees, payment, term",APR/interest interpretation,Useful but compliance wording needed,Medium with CreditRoadmap,Medium,High,Medium,Broad,No,Low,A
19,credit-utilisation-calculator,/borrowing-debt/credit-utilisation-calculator/,Borrowing,Calculate card utilisation ratio,"credit limit, balance",utilisation %,"Useful bridge, but CreditRoadmap may own deeper credit education",High overlap with CreditRoadmap,Low,Medium,Medium,Broad,No,Low,B
20,mortgage-overpayment-calculator,/borrowing-debt/mortgage-overpayment-calculator/,Borrowing,Estimate interest/time saved by overpaying mortgage,"balance, rate, term, overpayment","interest saved, months reduced",High utility but must avoid advice,Low,Medium,High,High,Broad,No,Low,A
21,cost-of-living-calculator,/household-money/cost-of-living-calculator/,Household,Compare monthly spending scenarios,"income, housing, transport, bills, region optional",monthly budget impact,Useful but location data can sprawl if unchecked,Medium,Medium,High,High,Broad,Optional external data,Periodic,A
22,energy-cost-calculator,/household-money/energy-cost-calculator/,Household,Estimate energy bill impact,"usage, rate, standing charge",monthly/yearly cost,"Clear household utility, data changes often",Low,Medium,Medium,High,UK,Yes,Frequent,B
23,childcare-cost-calculator,/household-money/childcare-cost-calculator/,Household,Estimate childcare cost against take-home pay,"fees, days, income, support optional","monthly cost, income share","High user value, policy complexity",Low,High,High,High,UK,Yes,Annual/when policy changes,B
24,council-tax-budget-calculator,/household-money/council-tax-budget-calculator/,Household,Spread council tax into budget view,"annual bill, months paid","monthly cost, annual burden",Useful but thin unless paired with budget context,Low,Low,Low,Medium,UK,No,Low,B
25,car-running-cost-calculator,/household-money/car-running-cost-calculator/,Household,Estimate monthly car running costs,"insurance, fuel, tax, maintenance, finance",monthly/yearly total,Strong household affordability bridge,Medium with CreditRoadmap car finance,Low,High,High,Broad,No,Low,A
26,fuel-cost-calculator,/household-money/fuel-cost-calculator/,Household,Estimate fuel cost per trip/month,"miles, MPG/kWh, fuel price",trip/month/year cost,Useful but commodity-data changes,Low,Low,Medium,Medium,Broad,Optional,Frequent,B
27,inflation-impact-calculator,/household-money/inflation-impact-calculator/,Household,Estimate buying-power loss,"amount, inflation rate, years","real value, price equivalent",Useful topical evergreen,Low,Low,Medium,High,Broad,No,Low,B
28,savings-goal-calculator,/saving/savings-goal-calculator/,Saving,Work out monthly saving needed,"target, timeframe, current savings",monthly contribution required,Clear tool intent,Low,Low,Medium,High,Broad,No,Low,A
29,regular-savings-calculator,/saving/regular-savings-calculator/,Saving,Project regular contributions,"monthly amount, rate, term",future value,Distinct from compound interest by contribution framing,Low,Low,Medium,High,Broad,No,Low,B
30,isa-contribution-calculator,/saving/isa-contribution-calculator/,Saving,Track ISA allowance usage,"contribution, allowance, tax year",remaining allowance,"UK-specific, annual limit dependent",Low,Low,Medium,Medium,UK,Yes,Annual,B
31,pension-growth-calculator,/saving/pension-growth-calculator/,Saving,Project pension pot growth,"balance, contributions, return, years",projected value,Risk of investment-advice framing,Medium,High,High,Medium,Broad,No,Low,B
32,redundancy-pay-calculator,/work-money/redundancy-pay-calculator/,Work money,Estimate statutory redundancy pay,"age, service, weekly pay",statutory redundancy estimate,Distinct UK statutory calculator,Low,Medium,Medium,High,UK,Yes,Annual cap review,A
33,holiday-pay-calculator,/work-money/holiday-pay-calculator/,Work money,Estimate holiday pay entitlement/value,"days, hours, rate, salary",holiday pay estimate,Useful payroll/employment calculator,Medium with WorthMyTime,Medium,Medium,High,UK,Yes,Periodic,B
34,sick-pay-calculator,/work-money/sick-pay-calculator/,Work money,Estimate statutory sick pay,"days/weeks off, eligibility basics",SSP estimate,Useful but requires careful eligibility disclaimers,Low,Medium,Medium,Medium,UK,Yes,Annual,B
35,maternity-pay-calculator,/work-money/maternity-pay-calculator/,Work money,Estimate statutory maternity pay pattern,"weekly pay, dates, entitlement",weekly/monthly estimate,High complexity but high user value,Low,High,Medium,High,UK,Yes,Annual,B
36,paternity-pay-calculator,/work-money/paternity-pay-calculator/,Work money,Estimate statutory paternity pay,"weekly pay, leave weeks",pay estimate,Useful but narrower demand,Low,Medium,Low,Medium,UK,Yes,Annual,C
37,day-rate-calculator,/work-money/day-rate-calculator/,Work money,Convert day rate to salary equivalent,"day rate, billable days, costs",gross/net equivalent,Useful contractor tool; avoid tax-advice detail,Medium with WorthMyTime,Medium,High,High,UK,Yes,Annual,A
38,inside-ir35-calculator,/work-money/inside-ir35-calculator/,Work money,Estimate inside IR35 take-home,"day rate, days, pension, tax year",net estimate,"High value, high complexity/compliance",Low,High,High,High,UK,Yes,Annual,B
39,outside-ir35-calculator,/work-money/outside-ir35-calculator/,Work money,Model limited company contractor scenarios,"rate, days, salary/dividend assumptions",illustrative take-home,High risk of advice/complexity,Low,Very high,High,Medium,UK,Yes,Annual,C
40,shift-allowance-calculator,/work-money/shift-allowance-calculator/,Work money,Estimate shift premium value,"base rate, premium, shifts",gross/net added pay,Distinct work-pay calculator,Medium with WorthMyTime,Low,Medium,High,Broad,No,Low,B
41,notice-pay-calculator,/work-money/notice-pay-calculator/,Work money,Estimate notice-period pay,"salary, notice length",gross/pay-period value,Useful but employment-law edges,Medium,Medium,Low,Medium,UK,Yes,Low,B
42,balance-transfer-calculator,/borrowing-debt/balance-transfer-calculator/,Borrowing,Compare card transfer cost,"balance, fee, promo rate, term",cost comparison,"Commercially useful, credit overlap",High with CreditRoadmap,Medium,High,Medium,Broad,No,Low,B
43,debt-snowball-calculator,/borrowing-debt/debt-snowball-calculator/,Borrowing,Plan smallest-balance debt payoff order,"debts, APRs, payment",payoff schedule,Useful but advice-adjacent,High with CreditRoadmap,Medium,High,Medium,Broad,No,Low,B
44,debt-avalanche-calculator,/borrowing-debt/debt-avalanche-calculator/,Borrowing,Plan highest-interest payoff order,"debts, APRs, payment",payoff schedule,Useful but advice-adjacent,High with CreditRoadmap,Medium,High,Medium,Broad,No,Low,B
45,debt-to-income-calculator,/borrowing-debt/debt-to-income-calculator/,Borrowing,Calculate debt-to-income ratio,"monthly debts, gross/net income",DTI ratio,Good affordability bridge,Medium with CreditRoadmap,Low,High,High,Broad,No,Low,A
46,pay-rise-calculator,/work-money/pay-rise-calculator/,Work money,Estimate gross and net raise impact,"current salary, new salary or percentage",net monthly increase,Already exists conceptually; keep/repurpose,High with SalaryDecoded but V2 broad tool fits,Medium,High,High,UK/US,Yes,Annual,A
47,total-compensation-calculator,/work-money/total-compensation-calculator/,Work money,Compare salary plus benefits,"salary, bonus, pension, benefits",total comp estimate,Already exists; keep as V2 work-money tool,Medium,Medium,High,High,Broad,No,Low,A
48,benefits-vs-salary-calculator,/work-money/benefits-vs-salary-calculator/,Work money,Compare cash salary with benefits,"salary, benefit values",net/value comparison,Distinct offer decision tool,Medium,Medium,High,High,Broad,No,Low,A
49,salary-vs-cost-of-living-calculator,/household-money/salary-vs-cost-of-living-calculator/,Household,Compare salary against expenses,"net income, location costs, household costs",surplus/change,Useful bridge from pay to budget,Medium,Medium,High,High,Broad,Optional,Periodic,A
50,affordability-calculator,/household-money/affordability-calculator/,Household,Estimate affordability after bills and debts,"income, fixed costs, debt, savings target",affordable budget range,Strong V2 flagship calculator,Medium,Medium,High,High,Broad,No,Low,A
