calculator,url,classification,rule_year,authority,verified,tests_passed,limitations,update_frequency,production_status,notes
Work out monthly saving needed,/saving/savings-goal-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Project regular contributions,/saving/regular-savings-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Track ISA allowance usage,/saving/isa-contribution-calculator/,C — ESTIMATE / DECISION TOOL,2026/27 UK or 2026 US where statutory; user-entered assumptions otherwise,Mathematical projection plus annual allowance/assumption context; not advice.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Project pension pot growth,/saving/pension-growth-calculator/,C — ESTIMATE / DECISION TOOL,2026/27 UK or 2026 US where statutory; user-entered assumptions otherwise,Mathematical projection plus annual allowance/assumption context; not advice.,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",occasional formula/UX review; rates user-entered,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate statutory redundancy pay,/work-money/redundancy-pay-calculator/,D — SPECIALIST / HIGH-RISK,UK 2026/27; US 2026 where selected,https://www.gov.uk/calculate-your-redundancy-pay,yes,yes,Simplified age-band estimate; exact statutory calculation depends on age during each full year of service.,annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate holiday pay entitlement/value,/work-money/holiday-pay-calculator/,D — SPECIALIST / HIGH-RISK,2026/27 UK or 2026 US where statutory; user-entered assumptions otherwise,https://www.gov.uk/holiday-entitlement-rights/holiday-pay-the-basics,yes,yes,Simple salary-day estimate; irregular-hours rules and contract terms may differ.,annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate statutory sick pay,/work-money/sick-pay-calculator/,D — SPECIALIST / HIGH-RISK,UK 2026/27; US 2026 where selected,https://www.gov.uk/statutory-sick-pay,yes,yes,"Statutory estimate only; excludes eligibility failures, employer schemes and unusual reference periods.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate statutory maternity pay pattern,/work-money/maternity-pay-calculator/,D — SPECIALIST / HIGH-RISK,UK 2026/27; US 2026 where selected,https://www.gov.uk/maternity-pay-leave/pay,yes,yes,"Statutory estimate only; excludes eligibility failures, employer schemes and unusual reference periods.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate statutory paternity pay,/work-money/paternity-pay-calculator/,D — SPECIALIST / HIGH-RISK,UK 2026/27; US 2026 where selected,https://www.gov.uk/paternity-pay-leave/pay,yes,yes,"Statutory estimate only; excludes eligibility failures, employer schemes and unusual reference periods.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Convert day rate to salary equivalent,/work-money/day-rate-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,no statutory update; formula review only,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate inside IR35 take-home,/work-money/inside-ir35-calculator/,B — RULE DEPENDENT,2026/27 UK or 2026 US where statutory; user-entered assumptions otherwise,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,Tax-impact estimate only; does not determine employment status or company accounts.,annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Model limited company contractor scenarios,/work-money/outside-ir35-calculator/,B — RULE DEPENDENT,2026/27 UK or 2026 US where statutory; user-entered assumptions otherwise,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,Tax-impact estimate only; does not determine employment status or company accounts.,annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate shift premium value,/work-money/shift-allowance-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,no statutory update; formula review only,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate notice-period pay,/work-money/notice-pay-calculator/,D — SPECIALIST / HIGH-RISK,2026/27 UK or 2026 US where statutory; user-entered assumptions otherwise,GOV.UK statutory employment-rate pages and statutory calculator guidance; simplified inputs and visible limitations required.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Compare card transfer cost,/borrowing-debt/balance-transfer-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,"Mathematical estimate; lender rules, fees, affordability checks and credit decisions are excluded.",occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
