URL,family,country/state,salary/pay intent,existing inbound link count,existing crawl depth,reason selected,historical GSC evidence,proposed new link sources,priority tier
"https://aftertaxtool.com/75000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","22","2","Common UK exact salary demand around £75,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/80000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","23","1","Common UK exact salary demand around £80,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/90000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","35","1","Common UK exact salary demand around £90,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/100000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","38","1","Common UK exact salary demand around £100,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/120000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","24","1","Common UK exact salary demand around £120,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/125000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","24","3","Common UK exact salary demand around £125,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/150000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","11","1","Common UK exact salary demand around £150,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/200000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","15","1","Common UK exact salary demand around £200,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/30000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","13","2","Common US exact salary demand around $30,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/40000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","25","1","Common US exact salary demand around $40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/50000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","35","1","Common US exact salary demand around $50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/60000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","56","1","Common US exact salary demand around $60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/70000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","57","1","Common US exact salary demand around $70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/75000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","30","2","Common US exact salary demand around $75,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/80000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","43","1","Common US exact salary demand around $80,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/90000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","48","1","Common US exact salary demand around $90,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/100000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","56","1","Common US exact salary demand around $100,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/120000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","24","1","Common US exact salary demand around $120,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/125000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","10","2","Common US exact salary demand around $125,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/150000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","30","1","Common US exact salary demand around $150,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/175000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","10","3","Common US exact salary demand around $175,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/200000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","18","1","Common US exact salary demand around $200,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/250000-salary-after-tax-us.html","US annual salary","US","annual salary after tax","17","2","Common US exact salary demand around $250,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-us.html","Tier 1"
"https://aftertaxtool.com/40000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","15","1","Distinct monthly take-home-pay modifier for £40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/40000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","13","1","Distinct weekly take-home-pay modifier for £40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/40000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","12","2","Distinct monthly take-home-pay modifier for $40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/40000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","13","2","Distinct weekly take-home-pay modifier for $40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/50000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","21","1","Distinct monthly take-home-pay modifier for £50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/50000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","17","1","Distinct weekly take-home-pay modifier for £50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/50000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","22","2","Distinct monthly take-home-pay modifier for $50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/50000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","22","2","Distinct weekly take-home-pay modifier for $50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/60000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","18","1","Distinct monthly take-home-pay modifier for £60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/60000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","13","1","Distinct weekly take-home-pay modifier for £60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/60000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","19","2","Distinct monthly take-home-pay modifier for $60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/60000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","19","2","Distinct weekly take-home-pay modifier for $60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/70000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","17","1","Distinct monthly take-home-pay modifier for £70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/70000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","14","1","Distinct weekly take-home-pay modifier for £70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/70000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","13","2","Distinct monthly take-home-pay modifier for $70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/70000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","12","2","Distinct weekly take-home-pay modifier for $70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/80000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","13","1","Distinct monthly take-home-pay modifier for £80,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/80000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","14","1","Distinct weekly take-home-pay modifier for £80,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/80000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","17","2","Distinct monthly take-home-pay modifier for $80,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/80000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","16","2","Distinct weekly take-home-pay modifier for $80,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/90000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","12","1","Distinct monthly take-home-pay modifier for £90,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/90000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","13","1","Distinct weekly take-home-pay modifier for £90,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/90000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","15","2","Distinct monthly take-home-pay modifier for $90,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/90000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","15","2","Distinct weekly take-home-pay modifier for $90,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/100000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","14","1","Distinct monthly take-home-pay modifier for £100,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/100000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","13","1","Distinct weekly take-home-pay modifier for £100,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/100000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","23","2","Distinct monthly take-home-pay modifier for $100,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/100000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","24","2","Distinct weekly take-home-pay modifier for $100,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/120000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","13","1","Distinct monthly take-home-pay modifier for £120,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/120000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","10","1","Distinct weekly take-home-pay modifier for £120,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/120000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","9","2","Distinct monthly take-home-pay modifier for $120,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/120000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","10","2","Distinct weekly take-home-pay modifier for $120,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/150000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","6","1","Distinct monthly take-home-pay modifier for £150,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/150000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","10","1","Distinct weekly take-home-pay modifier for £150,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/150000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","9","2","Distinct monthly take-home-pay modifier for $150,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/150000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","9","2","Distinct weekly take-home-pay modifier for $150,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/200000-after-tax-monthly.html","UK monthly salary","UK","monthly pay after tax","11","1","Distinct monthly take-home-pay modifier for £200,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/200000-after-tax-weekly.html","UK weekly salary","UK","weekly pay after tax","9","1","Distinct weekly take-home-pay modifier for £200,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 2"
"https://aftertaxtool.com/200000-after-tax-monthly-us.html","US monthly salary","US","monthly pay after tax","7","2","Distinct monthly take-home-pay modifier for $200,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/200000-after-tax-weekly-us.html","US weekly salary","US","weekly pay after tax","8","2","Distinct weekly take-home-pay modifier for $200,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html","Tier 2"
"https://aftertaxtool.com/60000-salary-after-tax-california.html","state annual salary","California","state annual salary after tax","22","2","Representative California salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-california.html","Tier 3"
"https://aftertaxtool.com/75000-salary-after-tax-california.html","state annual salary","California","state annual salary after tax","29","2","Representative California salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-california.html","Tier 3"
"https://aftertaxtool.com/80000-salary-after-tax-california.html","state annual salary","California","state annual salary after tax","32","2","Representative California salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-california.html","Tier 3"
"https://aftertaxtool.com/100000-salary-after-tax-california.html","state annual salary","California","state annual salary after tax","33","2","Representative California salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-california.html","Tier 2"
"https://aftertaxtool.com/100000-after-tax-monthly-california.html","state monthly salary","California","state monthly salary after tax","24","2","Monthly California pay-period route for a priority state salary.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-california.html","Tier 3"
"https://aftertaxtool.com/100000-after-tax-weekly-california.html","state weekly salary","California","state weekly salary after tax","22","3","Weekly California pay-period route for a priority state salary.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-california.html","Tier 3"
"https://aftertaxtool.com/120000-salary-after-tax-california.html","state annual salary","California","state annual salary after tax","16","2","Representative California salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-california.html","Tier 2"
"https://aftertaxtool.com/150000-salary-after-tax-california.html","state annual salary","California","state annual salary after tax","20","2","Representative California salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-california.html","Tier 2"
"https://aftertaxtool.com/175000-salary-after-tax-california.html","state annual salary","California","state annual salary after tax","11","2","Representative California salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-california.html","Tier 2"
"https://aftertaxtool.com/200000-salary-after-tax-california.html","state annual salary","California","state annual salary after tax","9","2","Representative California salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-california.html","Tier 2"
"https://aftertaxtool.com/200000-after-tax-monthly-california.html","state monthly salary","California","state monthly salary after tax","8","3","Monthly California pay-period route for a priority state salary.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-california.html","Tier 3"
"https://aftertaxtool.com/200000-after-tax-weekly-california.html","state weekly salary","California","state weekly salary after tax","8","3","Weekly California pay-period route for a priority state salary.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-california.html","Tier 3"
"https://aftertaxtool.com/60000-salary-after-tax-new-york.html","state annual salary","New York","state annual salary after tax","21","2","Representative New York salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-new-york.html","Tier 3"
"https://aftertaxtool.com/75000-salary-after-tax-new-york.html","state annual salary","New York","state annual salary after tax","29","2","Representative New York salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-new-york.html","Tier 3"
"https://aftertaxtool.com/80000-salary-after-tax-new-york.html","state annual salary","New York","state annual salary after tax","28","2","Representative New York salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-new-york.html","Tier 3"
"https://aftertaxtool.com/100000-salary-after-tax-new-york.html","state annual salary","New York","state annual salary after tax","30","2","Representative New York salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-new-york.html","Tier 2"
"https://aftertaxtool.com/100000-after-tax-monthly-new-york.html","state monthly salary","New York","state monthly salary after tax","24","3","Monthly New York pay-period route for a priority state salary.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-new-york.html","Tier 3"
"https://aftertaxtool.com/100000-after-tax-weekly-new-york.html","state weekly salary","New York","state weekly salary after tax","22","3","Weekly New York pay-period route for a priority state salary.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-new-york.html","Tier 3"
"https://aftertaxtool.com/120000-salary-after-tax-new-york.html","state annual salary","New York","state annual salary after tax","17","2","Representative New York salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-new-york.html","Tier 2"
"https://aftertaxtool.com/150000-salary-after-tax-new-york.html","state annual salary","New York","state annual salary after tax","15","2","Representative New York salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-new-york.html","Tier 2"
"https://aftertaxtool.com/175000-salary-after-tax-new-york.html","state annual salary","New York","state annual salary after tax","11","2","Representative New York salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-new-york.html","Tier 2"
"https://aftertaxtool.com/200000-salary-after-tax-new-york.html","state annual salary","New York","state annual salary after tax","9","2","Representative New York salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-new-york.html","Tier 2"
"https://aftertaxtool.com/200000-after-tax-monthly-new-york.html","state monthly salary","New York","state monthly salary after tax","8","3","Monthly New York pay-period route for a priority state salary.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-new-york.html","Tier 3"
"https://aftertaxtool.com/200000-after-tax-weekly-new-york.html","state weekly salary","New York","state weekly salary after tax","8","3","Weekly New York pay-period route for a priority state salary.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-new-york.html","Tier 3"
"https://aftertaxtool.com/60000-salary-after-tax-texas.html","state annual salary","Texas","state annual salary after tax","23","2","Representative Texas salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-texas.html","Tier 3"
"https://aftertaxtool.com/75000-salary-after-tax-texas.html","state annual salary","Texas","state annual salary after tax","29","2","Representative Texas salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-texas.html","Tier 3"
"https://aftertaxtool.com/80000-salary-after-tax-texas.html","state annual salary","Texas","state annual salary after tax","28","2","Representative Texas salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-texas.html","Tier 3"
"https://aftertaxtool.com/100000-salary-after-tax-texas.html","state annual salary","Texas","state annual salary after tax","31","2","Representative Texas salary query with state-level tax/cost context.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-us.html; salary-after-tax-texas.html","Tier 2"
"https://aftertaxtool.com/100000-after-tax-monthly-texas.html","state monthly salary","Texas","state monthly salary after tax","26","2","Monthly Texas pay-period route for a priority state salary.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","salary-after-tax-texas.html","Tier 3"
